file,speaker,debate,sentence_id,text,char_len,word_len,clean_text,clean_word_len,tokens,tokens_no_stop,stemmed_tokens,lemma_tokens,processed_text,neg,neu,pos,compound,sentiment
clinton_1st.txt,Clinton,1,19,We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.,98,18,we are going to do it by having the wealthy pay their fair share and close the corporate loopholes,19,we are going to do it by having the wealthy pay their fair share and close the corporate loopholes,wealthy pay fair share close corporate loopholes,wealthi pay fair share close corpor loophol,wealthy pay fair share close corporate loophole,wealthy pay fair share close corporate loophole,0.062,0.625,0.312,0.6808,positive
clinton_1st.txt,Clinton,1,20,"Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you.",100,19,finally we tonight are on the stage together donald trump and i donald it is good to be with you,20,finally we tonight are on the stage together donald trump and i donald it is good to be with you,finally tonight stage together good,final tonight stage togeth good,finally tonight stage together good,finally tonight stage together good,0.0,0.861,0.139,0.4404,positive
clinton_1st.txt,Clinton,1,21,We're going to have a debate where we are talking about the important issues facing our country.,96,17,we are going to have a debate where we are talking about the important issues facing our country,18,we are going to have a debate where we are talking about the important issues facing our country,debate talking important issues facing country,debat talk import issu face countri,debate talk important issue face country,debate talk important issue face country,0.0,0.893,0.107,0.2023,positive
clinton_1st.txt,Clinton,1,22,"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.",162,28,you have to judge us who can shoulder the immense awesome responsibilities of the presidency who can put into action the plans that will make your life better,28,you have to judge us who can shoulder the immense awesome responsibilities of the presidency who can put into action the plans that will make your life better,judge shoulder immense awesome responsibilities presidency put action plans make life better,judg shoulder immens awesom respons presid put action plan make life better,judge shoulder immense awesome responsibility presidency put action plan make life well,judge shoulder immense awesome responsibility presidency put action plan make life well,0.0,0.788,0.212,0.7906,positive
clinton_1st.txt,Clinton,1,23,I hope that I will be able to earn your vote on November 8th.,61,14,i hope that i will be able to earn your vote on november th,14,i hope that i will be able to earn your vote on november th,hope able earn vote november,hope abl earn vote novemb,hope able earn vote november,hope able earn vote november,0.0,0.791,0.209,0.4404,positive
clinton_1st.txt,Clinton,1,24,"Well, I think that trade is an important issue.",47,9,well i think that trade is an important issue,9,well i think that trade is an important issue,trade important issue,trade import issu,trade important issue,trade important issue,0.0,0.606,0.394,0.4404,positive
clinton_1st.txt,Clinton,1,25,"Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.",98,19,of course we are percent of the world is population we have to trade with the other percent,18,of course we are percent of the world is population we have to trade with the other percent,course percent world population trade percent,cours percent world popul trade percent,course percent world population trade percent,course percent world population trade percent,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,26,"And we need to have smart, fair trade deals.",44,9,and we need to have smart fair trade deals,9,and we need to have smart fair trade deals,need smart fair trade deals,need smart fair trade deal,need smart fair trade deal,need smart fair trade deal,0.0,0.583,0.417,0.6124,positive
clinton_1st.txt,Clinton,1,27,"We also, though, need to have a tax system that rewards work and not just financial transactions.",97,17,we also though need to have a tax system that rewards work and not just financial transactions,17,we also though need to have a tax system that rewards work and not just financial transactions,though need tax system rewards work financial transactions,though need tax system reward work financi transact,though need tax system reward work financial transaction,though need tax system reward work financial transaction,0.0,0.829,0.171,0.4767,positive
clinton_1st.txt,Clinton,1,28,And the kind of plan that Donald has put forth would be trickle-down economics all over again.,94,17,and the kind of plan that donald has put forth would be trickle down economics all over again,18,and the kind of plan that donald has put forth would be trickle down economics all over again,kind plan put forth trickle economics,kind plan put forth trickl econom,kind plan put forth trickle economics,kind plan put forth trickle economics,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,29,"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.",138,27,in fact it would be the most extreme version the biggest tax cuts for the top percent of the people in this country than we have ever had,28,in fact it would be the most extreme version the biggest tax cuts for the top percent of the people in this country than we have ever had,fact extreme version biggest tax cuts top percent people country ever,fact extrem version biggest tax cut top percent peopl countri ever,fact extreme version big tax cut top percent people country ever,fact extreme version big tax cut top percent people country ever,0.076,0.862,0.062,-0.1027,negative
clinton_1st.txt,Clinton,1,30,"I call it trumped-up trickle-down, because that's exactly what it would be.",75,12,i call it trumped up trickle down because that is exactly what it would be,15,i call it trumped up trickle down because that is exactly what it would be,call trumped trickle exactly,call trump trickl exactli,call trump trickle exactly,call trump trickle exactly,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,31,That is not how we grow the economy.,36,8,that is not how we grow the economy,8,that is not how we grow the economy,grow economy,grow economi,grow economy,grow economy,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,32,"We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.",148,25,we just have a different view about what is best for growing the economy how we make investments that will actually produce jobs and rising incomes,26,we just have a different view about what is best for growing the economy how we make investments that will actually produce jobs and rising incomes,different view best growing economy make investments actually produce jobs rising incomes,differ view best grow economi make invest actual produc job rise incom,different view best grow economy make investment actually produce job rise income,different view best grow economy make investment actually produce job rise income,0.0,0.789,0.211,0.7096,positive
clinton_1st.txt,Clinton,1,33,I think we come at it from somewhat different perspectives.,59,10,i think we come at it from somewhat different perspectives,10,i think we come at it from somewhat different perspectives,come somewhat different perspectives,come somewhat differ perspect,come somewhat different perspective,come somewhat different perspective,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,34,I understand that.,18,3,i understand that,3,i understand that,understand,understand,understand,understand,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,35,"You know, Donald was very fortunate in his life, and that's all to his benefit.",79,15,you know donald was very fortunate in his life and that is all to his benefit,16,you know donald was very fortunate in his life and that is all to his benefit,fortunate life benefit,fortun life benefit,fortunate life benefit,fortunate life benefit,0.0,0.677,0.323,0.7346,positive
clinton_1st.txt,Clinton,1,36,"He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.",199,35,he started his business with million borrowed from his father and he really believes that the more you help wealthy people the better off we will be and that everything will work out from there,35,he started his business with million borrowed from his father and he really believes that the more you help wealthy people the better off we will be and that everything will work out from there,started business million borrowed father really believes help wealthy people better everything work,start busi million borrow father realli believ help wealthi peopl better everyth work,start business million borrow father really believe help wealthy people well everything work,start business million borrow father really believe help wealthy people well everything work,0.0,0.787,0.213,0.8244,positive
clinton_1st.txt,Clinton,1,37,I don't buy that.,17,4,i do not buy that,5,i do not buy that,buy,buy,buy,buy,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,38,I have a different experience.,30,5,i have a different experience,5,i have a different experience,different experience,differ experi,different experience,different experience,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,39,My father was a small-businessman.,34,5,my father was a small businessman,6,my father was a small businessman,father small businessman,father small businessman,father small businessman,father small businessman,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,40,He worked really hard.,22,4,he worked really hard,4,he worked really hard,worked really hard,work realli hard,work really hard,work really hard,0.361,0.639,0.0,-0.1761,negative
clinton_1st.txt,Clinton,1,41,"He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going.",173,32,he printed drapery fabrics on long tables where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going,32,he printed drapery fabrics on long tables where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going,printed drapery fabrics long tables pulled fabrics went silkscreen dumped paint took squeegee kept,print draperi fabric long tabl pull fabric went silkscreen dump paint took squeege kept,print drapery fabric long table pull fabric go silkscreen dump paint take squeegee kept,print drapery fabric long table pull fabric go silkscreen dump paint take squeegee kept,0.083,0.917,0.0,-0.4019,negative
clinton_1st.txt,Clinton,1,42,"And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow.",191,39,and so what i believe is the more we can do for the middle class the more we can invest in you your education your skills your future the better we will be off and the better we will grow,40,and so what i believe is the more we can do for the middle class the more we can invest in you your education your skills your future the better we will be off and the better we will grow,believe middle class invest education skills future better better grow,believ middl class invest educ skill futur better better grow,believe middle class invest education skill future good good grow,believe middle class invest education skill future good good grow,0.0,0.861,0.139,0.7003,positive
clinton_1st.txt,Clinton,1,43,That's the kind of economy I want us to see again.,50,11,that is the kind of economy i want us to see again,12,that is the kind of economy i want us to see again,kind economy want see,kind economi want see,kind economy want see,kind economy want see,0.0,0.874,0.126,0.0772,positive
clinton_1st.txt,Clinton,1,44,"Well, let's stop for a second and remember where we were eight years ago.",73,14,well let is stop for a second and remember where we were eight years ago,15,well let is stop for a second and remember where we were eight years ago,let stop second remember eight years ago,let stop second rememb eight year ago,let stop second remember eight year ago,let stop second remember eight year ago,0.144,0.719,0.137,-0.0258,neutral
clinton_1st.txt,Clinton,1,45,"We had the worst financial crisis, the Great Recession, the worst since the 1930s.",82,14,we had the worst financial crisis the great recession the worst since the s,14,we had the worst financial crisis the great recession the worst since the s,worst financial crisis great recession worst since,worst financi crisi great recess worst sinc,bad financial crisis great recession bad since,bad financial crisis great recession bad since,0.535,0.319,0.145,-0.9001,negative
clinton_1st.txt,Clinton,1,46,"That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.",184,34,that was in large part because of tax policies that slashed taxes on the wealthy failed to invest in the middle class took their eyes off of wall street and created a perfect storm,34,that was in large part because of tax policies that slashed taxes on the wealthy failed to invest in the middle class took their eyes off of wall street and created a perfect storm,large part tax policies slashed taxes wealthy failed invest middle class took eyes wall street created perfect storm,larg part tax polici slash tax wealthi fail invest middl class took eye wall street creat perfect storm,large part tax policy slash tax wealthy fail invest middle class take eye wall street create perfect storm,large part tax policy slash tax wealthy fail invest middle class take eye wall street create perfect storm,0.126,0.676,0.198,0.4588,positive
clinton_1st.txt,Clinton,1,47,"In fact, Donald was one of the people who rooted for the housing crisis.",72,14,in fact donald was one of the people who rooted for the housing crisis,14,in fact donald was one of the people who rooted for the housing crisis,fact people rooted housing crisis,fact peopl root hous crisi,fact people root housing crisis,fact people root housing crisis,0.24,0.76,0.0,-0.6249,negative
clinton_1st.txt,Clinton,1,48,"He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money.""",113,24,he said back in gee i hope it does collapse because then i can go in and buy some and make some money,23,he said back in gee i hope it does collapse because then i can go in and buy some and make some money,back gee hope collapse buy make money,back gee hope collaps buy make money,back gee hope collapse buy make money,back gee hope collapse buy make money,0.123,0.766,0.111,-0.0772,negative
clinton_1st.txt,Clinton,1,49,"Well, it did collapse.",22,4,well it did collapse,4,well it did collapse,collapse,collaps,collapse,collapse,0.438,0.274,0.288,-0.2732,negative
clinton_1st.txt,Clinton,1,50,Nine million people -- nine million people lost their jobs.,59,10,nine million people nine million people lost their jobs,9,nine million people nine million people lost their jobs,nine million people nine million people lost jobs,nine million peopl nine million peopl lost job,nine million people nine million people lose job,nine million people nine million people lose job,0.204,0.796,0.0,-0.3182,negative
clinton_1st.txt,Clinton,1,51,Five million people lost their homes.,37,6,five million people lost their homes,6,five million people lost their homes,five million people lost homes,five million peopl lost home,five million people lose home,five million people lose home,0.315,0.685,0.0,-0.3182,negative
clinton_1st.txt,Clinton,1,52,And $13 trillion in family wealth was wiped out.,48,9,and trillion in family wealth was wiped out,8,and trillion in family wealth was wiped out,trillion family wealth wiped,trillion famili wealth wipe,trillion family wealth wipe,trillion family wealth wipe,0.0,0.714,0.286,0.4939,positive
clinton_1st.txt,Clinton,1,53,"Now, we have come back from that abyss.",39,8,now we have come back from that abyss,8,now we have come back from that abyss,come back abyss,come back abyss,come back abyss,come back abyss,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,54,And it has not been easy.,25,6,and it has not been easy,6,and it has not been easy,easy,easi,easy,easy,0.325,0.675,0.0,-0.3412,negative
clinton_1st.txt,Clinton,1,55,"So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",172,35,so we are now on the precipice of having a potentially much better economy but the last thing we need to do is to go back to the policies that failed us in the first place,36,so we are now on the precipice of having a potentially much better economy but the last thing we need to do is to go back to the policies that failed us in the first place,precipice potentially much better economy last thing need back policies failed first place,precipic potenti much better economi last thing need back polici fail first place,precipice potentially much good economy last thing need back policy fail first place,precipice potentially much good economy last thing need back policy fail first place,0.116,0.833,0.051,-0.5423,negative
clinton_1st.txt,Clinton,1,56,"Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.",372,62,independent experts have looked at what i have proposed and looked at what donald is proposed and basically they have said this that if his tax plan which would blow up the debt by over trillion and would in some instances disadvantage middle class families compared to the wealthy were to go into effect we would lose million jobs and maybe have another recession,64,independent experts have looked at what i have proposed and looked at what donald is proposed and basically they have said this that if his tax plan which would blow up the debt by over trillion and would in some instances disadvantage middle class families compared to the wealthy were to go into effect we would lose million jobs and maybe have another recession,independent experts looked proposed looked proposed basically tax plan blow debt trillion instances disadvantage middle class families compared wealthy effect lose million jobs maybe another recession,independ expert look propos look propos basic tax plan blow debt trillion instanc disadvantag middl class famili compar wealthi effect lose million job mayb anoth recess,independent expert look propose looked propose basically tax plan blow debt trillion instance disadvantage middle class family compare wealthy effect lose million job maybe another recession,independent expert look propose looked propose basically tax plan blow debt trillion instance disadvantage middle class family compare wealthy effect lose million job maybe another recession,0.154,0.811,0.036,-0.8074,negative
clinton_1st.txt,Clinton,1,57,"They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy.",204,41,they have looked at my plans and they have said ok if we can do this and i intend to get it done we will have million more new jobs because we will be making investments where we can grow the economy,42,they have looked at my plans and they have said ok if we can do this and i intend to get it done we will have million more new jobs because we will be making investments where we can grow the economy,looked plans intend get done million new jobs making investments grow economy,look plan intend get done million new job make invest grow economi,look plan intend get do million new job make investment grow economy,look plan intend get do million new job make investment grow economy,0.0,0.93,0.07,0.4466,positive
clinton_1st.txt,Clinton,1,58,Take clean energy.,18,3,take clean energy,3,take clean energy,take clean energy,take clean energi,take clean energy,take clean energy,0.0,0.172,0.828,0.5859,positive
clinton_1st.txt,Clinton,1,59,Some country is going to be the clean- energy superpower of the 21st century.,77,14,some country is going to be the clean energy superpower of the st century,14,some country is going to be the clean energy superpower of the st century,country clean energy superpower century,countri clean energi superpow centuri,country clean energy superpower century,country clean energy superpower century,0.0,0.714,0.286,0.5859,positive
clinton_1st.txt,Clinton,1,60,Donald thinks that climate change is a hoax perpetrated by the Chinese.,71,12,donald thinks that climate change is a hoax perpetrated by the chinese,12,donald thinks that climate change is a hoax perpetrated by the chinese,thinks climate change hoax perpetrated chinese,think climat chang hoax perpetr chines,think climate change hoax perpetrate chinese,think climate change hoax perpetrate chinese,0.174,0.826,0.0,-0.2732,negative
clinton_1st.txt,Clinton,1,61,I think it's real.,18,4,i think it is real,5,i think it is real,real,real,real,real,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,62,I think science is real.,24,5,i think science is real,5,i think science is real,science real,scienc real,science real,science real,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,63,"And I think it's important that we grip this and deal with it, both at home and abroad.",87,18,and i think it is important that we grip this and deal with it both at home and abroad,19,and i think it is important that we grip this and deal with it both at home and abroad,important grip deal home abroad,import grip deal home abroad,important grip deal home abroad,important grip deal home abroad,0.0,0.899,0.101,0.2023,positive
clinton_1st.txt,Clinton,1,64,And here's what we can do.,26,6,and here is what we can do,7,and here is what we can do,,,,,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,65,We can deploy a half a billion more solar panels.,49,10,we can deploy a half a billion more solar panels,10,we can deploy a half a billion more solar panels,deploy half billion solar panels,deploy half billion solar panel,deploy half billion solar panel,deploy half billion solar panel,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,66,We can have enough clean energy to power every home.,52,10,we can have enough clean energy to power every home,10,we can have enough clean energy to power every home,enough clean energy power every home,enough clean energi power everi home,enough clean energy power every home,enough clean energy power every home,0.0,0.625,0.375,0.5859,positive
clinton_1st.txt,Clinton,1,67,We can build a new modern electric grid.,40,8,we can build a new modern electric grid,8,we can build a new modern electric grid,build new modern electric grid,build new modern electr grid,build new modern electric grid,build new modern electric grid,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,68,That's a lot of jobs; that's a lot of new economic activity.,60,12,that is a lot of jobs that is a lot of new economic activity,14,that is a lot of jobs that is a lot of new economic activity,lot jobs lot new economic activity,lot job lot new econom activ,lot job lot new economic activity,lot job lot new economic activity,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,69,"So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place.",273,53,so i have tried to be very specific about what we can and should do and i am determined that we are going to get the economy really moving again building on the progress we have made over the last eight years but never going back to what got us in trouble in the first place,56,so i have tried to be very specific about what we can and should do and i am determined that we are going to get the economy really moving again building on the progress we have made over the last eight years but never going back to what got us in trouble in the first place,tried specific determined get economy really moving building progress made last eight years never back got trouble first place,tri specif determin get economi realli move build progress made last eight year never back got troubl first place,try specific determine get economy really move building progress make last eight year never back get trouble first place,try specific determine get economy really move building progress make last eight year never back get trouble first place,0.063,0.873,0.064,-0.2382,negative
clinton_1st.txt,Clinton,1,70,"Well, actually... Well, actually, I have thought about this quite a bit.",72,12,well actually well actually i have thought about this quite a bit,12,well actually well actually i have thought about this quite a bit,actually actually thought quite bit,actual actual thought quit bit,actually actually think quite bit,actually actually think quite bit,0.0,0.656,0.344,0.4939,positive
clinton_1st.txt,Clinton,1,71,"And I have -- well, not quite that long.",40,9,and i have well not quite that long,8,and i have well not quite that long,quite long,quit long,quite long,quite long,0.0,0.769,0.231,0.2732,positive
clinton_1st.txt,Clinton,1,72,I think my husband did a pretty good job in the 1990s.,54,12,i think my husband did a pretty good job in the s,12,i think my husband did a pretty good job in the s,husband pretty good job,husband pretti good job,husband pretty good job,husband pretty good job,0.0,0.567,0.433,0.7269,positive
clinton_1st.txt,Clinton,1,73,"I think a lot about what worked and how we can make it work again... ... million new jobs, a balanced budget...",111,22,i think a lot about what worked and how we can make it work again million new jobs a balanced budget,21,i think a lot about what worked and how we can make it work again million new jobs a balanced budget,lot worked make work million new jobs balanced budget,lot work make work million new job balanc budget,lot work make work million new job balance budget,lot work make work million new job balance budget,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,74,Incomes went up for everybody.,30,5,incomes went up for everybody,5,incomes went up for everybody,incomes went everybody,incom went everybodi,income go everybody,income go everybody,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,75,"Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts.",91,17,manufacturing jobs went up also in the s if we are actually going to look at the facts,18,manufacturing jobs went up also in the s if we are actually going to look at the facts,manufacturing jobs went actually look facts,manufactur job went actual look fact,manufacturing job go actually look fact,manufacturing job go actually look fact,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,76,"When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test.",114,26,when i was in the senate i had a number of trade deals that came before me and i held them all to the same test,26,when i was in the senate i had a number of trade deals that came before me and i held them all to the same test,senate number trade deals came held test,senat number trade deal came held test,senate number trade deal come held test,senate number trade deal come held test,0.0,0.942,0.058,0.0772,positive
clinton_1st.txt,Clinton,1,77,Will they create jobs in America?,33,6,will they create jobs in america,6,will they create jobs in america,create jobs america,creat job america,create job america,create job america,0.0,0.704,0.296,0.2732,positive
clinton_1st.txt,Clinton,1,78,Will they raise incomes in America?,35,6,will they raise incomes in america,6,will they raise incomes in america,raise incomes america,rais incom america,raise income america,raise income america,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,79,And are they good for our national security?,44,8,and are they good for our national security,8,and are they good for our national security,good national security,good nation secur,good national security,good national security,0.0,0.531,0.469,0.6486,positive
clinton_1st.txt,Clinton,1,80,Some of them I voted for.,25,6,some of them i voted for,6,some of them i voted for,voted,vote,vote,vote,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,81,"The biggest one, a multinational one known as CAFTA, I voted against.",69,12,the biggest one a multinational one known as cafta i voted against,12,the biggest one a multinational one known as cafta i voted against,biggest multinational known cafta voted,biggest multin known cafta vote,big multinational know cafta vote,big multinational know cafta vote,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,82,And because I hold the same standards as I look at all of these trade deals.,76,16,and because i hold the same standards as i look at all of these trade deals,16,and because i hold the same standards as i look at all of these trade deals,hold standards look trade deals,hold standard look trade deal,hold standard look trade deal,hold standard look trade deal,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,83,But let's not assume that trade is the only challenge we have in the economy.,77,15,but let is not assume that trade is the only challenge we have in the economy,16,but let is not assume that trade is the only challenge we have in the economy,let assume trade challenge economy,let assum trade challeng economi,let assume trade challenge economy,let assume trade challenge economy,0.0,0.906,0.094,0.1154,positive
clinton_1st.txt,Clinton,1,84,"I think it is a part of it, and I've said what I'm going to do.",63,16,i think it is a part of it and i have said what i am going to do,18,i think it is a part of it and i have said what i am going to do,part,part,part,part,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,85,I'm going to have a special prosecutor.,39,7,i am going to have a special prosecutor,8,i am going to have a special prosecutor,special prosecutor,special prosecutor,special prosecutor,special prosecutor,0.0,0.649,0.351,0.4019,positive
clinton_1st.txt,Clinton,1,86,"We're going to enforce the trade deals we have, and we're going to hold people accountable.",91,16,we are going to enforce the trade deals we have and we are going to hold people accountable,18,we are going to enforce the trade deals we have and we are going to hold people accountable,enforce trade deals hold people accountable,enforc trade deal hold peopl account,enforce trade deal hold people accountable,enforce trade deal hold people accountable,0.0,1.0,0.0,0.0,neutral
